media,str_date,reprint,scores
金融界,20191107,1,0
中国网,20191107,5,2
财联社,20191107,0,0
中国证券报,20191107,8,0
中国基金报,20191107,1,2
和讯网,20191107,2,2
新浪,20191107,1,0
新浪,20191107,0,2
新浪,20191107,2,2
和讯网,20191107,0,2
和讯网,20191107,1,2
中国经济网,20191107,1,2
21世纪经济报道,20191107,0,0
21世纪经济报道,20191107,1,0
21世纪经济报道,20191107,0,0
第一财经,20191107,1,0
财新网,20191107,0,0
华夏时报,20191107,3,-1
新浪,20191107,1,0
中国网,20191107,3,2
新浪,20191107,0,0
全景网,20191106,0,2
第一财经,20191107,0,0
第一财经,20191107,1,0
财经网,20191107,2,0
财新网,20191107,0,0
界面,20191107,0,0
第一财经,20191107,3,0
财联社,20191107,0,0
财联社,20191107,0,0
华夏时报,20191107,2,0
经济观察报,20191107,2,0
第一财经,20191107,2,0
第一财经,20191107,2,0
证券时报,20191107,3,2
新浪,20191107,3,0
新浪,20191107,4,0
21世纪经济报道,20191107,1,0
蓝鲸,20191107,4,2
每日经济新闻,20191107,15,-2
财联社,20191107,1,0
国际金融报,20191108,5,0
21世纪经济报道,20191108,7,0
21世纪经济报道,20191108,3,0
21世纪经济报道,20191108,11,0
21世纪经济报道,20191108,5,0
21世纪经济报道,20191108,4,0
21世纪经济报道,20191108,2,0
21世纪经济报道,20191108,1,0
中华工商时报,20191108,1,0
中华工商时报,20191108,1,2
中华工商时报,20191108,0,0
中华工商时报,20191108,0,2
中华工商时报,20191108,1,0
中华工商时报,20191108,0,0
中华工商时报,20191108,3,2
中华工商时报,20191108,3,0
中华工商时报,20191108,0,0
金融投资报,20191108,1,0
金融投资报,20191108,2,0
新闻晨报,20191108,1,2
新闻晨报,20191108,2,0
中国经济网,20191108,8,-2
新京报,20191108,2,0
中国证券报,20191108,17,0
中国证券报,20191108,10,2
中国证券报,20191108,13,0
中国证券报,20191108,1,0
中国证券报,20191108,2,0
中国证券报,20191108,1,0
上海证券报,20191108,12,0
上海证券报,20191108,1,0
上海证券报,20191108,1,0
上海证券报,20191108,1,0
上海证券报,20191108,3,0
上海证券报,20191108,1,0
新浪,20191108,0,0
财新网,20191108,0,0
